"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Webtables","chromium","2026-06-03","skipped","2026-06-03","","Webtables.spec.js","",""
"","0","Login","chromium","2026-06-03","skipped","2026-06-03","","Login.spec.js","",""
"","0","govt website","chromium","2026-06-03","skipped","2026-06-03","","mainproject.spec.js","",""
"","0","Basic lines","chromium","2026-06-03","skipped","2026-06-03","","textlocator.spec.js","",""
"","10660","govt website","chromium","2026-06-03","failed","2026-06-03","","complete.spec.js","",""
"","14096","Autocomplete","chromium","2026-06-03","failed","2026-06-03","","autocomplete1.spec.js","",""
"","0","Radiobutton","chromium","2026-06-03","skipped","2026-06-03","","radiobutton1.spec.js","",""
"","0","Handle Radio Button","chromium","2026-06-03","skipped","2026-06-03","","Radiobutton.spec.js","",""
"","0","Basic lines","chromium","2026-06-03","skipped","2026-06-03","","screenshot.spec.js","",""
"","0","Login","chromium","2026-06-03","skipped","2026-06-03","","Hyperlink.spec.js","",""
"","1042","Facebook Title checking","chromium","2026-06-03","passed","2026-06-03","","programexample.spec.js","",""
"","8299","Basic lines","chromium","2026-06-03","passed","2026-06-03","","alert.spec.js","",""
"","12297","Basic lines","chromium","2026-06-03","passed","2026-06-03","","draganddrop.spec.js","",""
"","0","Dropdown","chromium","2026-06-03","skipped","2026-06-03","","dropdown1.spec.js","",""
"","0","Login Facebook","chromium","2026-06-03","skipped","2026-06-03","","Webelements.spec.js","",""
"","907","has title","chromium","2026-06-03","passed","2026-06-03","","example.spec.js","",""
"","0","Basic lines","chromium","2026-06-03","skipped","2026-06-03","","mousevent.spec.js","",""
"","0","select govt page dropdowns","chromium","2026-06-03","skipped","2026-06-03","","MainSelectclass.spec.js","",""
"","0","Mini Project","chromium","2026-06-03","skipped","2026-06-03","","Minipro.spec.js","",""
"","0","lines","chromium","2026-06-03","skipped","2026-06-03","","webpage.spec.js","",""
"","3320","Basic lines","chromium","2026-06-03","passed","2026-06-03","","basiclines.spec.js","",""
"","3918","Basic lines","chromium","2026-06-03","passed","2026-06-03","","checkbox.spec.js","",""
"","0","Window Handle","chromium","2026-06-03","skipped","2026-06-03","","windowhandle.spec.js","",""
"","0","Slider using mouse action","chromium","2026-06-03","skipped","2026-06-03","","slider.spec.js","",""
"","0","Screenshot","chromium","2026-06-03","skipped","2026-06-03","","screenshotelement.spec.js","",""
"","5377","Basic lines","chromium","2026-06-03","failed","2026-06-03","","dragdrop.spec.js","",""
"","0","loginpage","chromium","2026-06-03","skipped","2026-06-03","","Miniproject.spec.js","",""
"","14106","Amazon autocomplete using for...of","chromium","2026-06-03","failed","2026-06-03","","Autocomplete.spec.js","",""
"","0","lines","chromium","2026-06-03","skipped","2026-06-03","","indexing.spec.js","",""
"","0","Screenshot","chromium","2026-06-03","skipped","2026-06-03","","screenshot1.spec.js","",""
"","2","Facebook URL checking","chromium","2026-06-03","passed","2026-06-03","","program.spec.js","",""
"","0","File Upload","chromium","2026-06-03","skipped","2026-06-03","","fileupload1.spec.js","",""
"","0","Window Handle","chromium","2026-06-03","skipped","2026-06-03","","windowhandle1.spec.js","",""
"","3546","Page1","chromium","2026-06-03","failed","2026-06-03","","dropdown.spec.js","",""
"","0","govt website","chromium","2026-06-03","skipped","2026-06-03","","facadepattern/complete.spec.js","",""
"","940","get started link","chromium","2026-06-03","passed","2026-06-03","","example.spec.js","",""
"","0","Basic lines","chromium","2026-06-03","skipped","2026-06-03","","fileupload.spec.js","",""
"","0","govt website","chromium","2026-06-03","skipped","2026-06-03","","Mainnewwin.spec.js","",""
"","0","File Upload","chromium","2026-06-03","skipped","2026-06-03","","filedownload1.spec.js","",""
"","0","Basic lines","chromium","2026-06-03","skipped","2026-06-03","","filedownload.spec.js","",""
